subj,stimulus,timestamp,x,y,duration,prev_sacc_amplitude,aoi_label
User 26,page1,0.391600,572.896800,91.098000,0.066410,111.467275,
User 26,page1,0.474120,601.574400,105.906000,0.164550,32.275093,
User 26,page1,0.704100,707.891100,27.229125,0.131350,132.262207,
User 26,page1,0.851560,713.059200,82.619250,0.033210,55.630704,
User 26,page1,0.917480,631.503600,118.051500,0.034180,88.919965,
User 26,page1,0.968750,603.444800,106.011500,0.163090,30.532898,
User 26,page1,1.182620,770.078400,82.750500,0.016110,168.249311,
User 26,page1,1.213380,716.410800,39.044250,0.032710,69.213059,
User 26,page1,1.279300,746.188800,123.261600,0.098630,89.326879,
User 26,page1,1.443360,828.492000,67.707500,0.049320,99.297909,
User 26,page1,1.509770,809.919600,18.826500,0.032220,52.290403,
User 26,page1,1.575200,810.196800,86.236500,0.015620,67.410570,
User 26,page1,1.607910,823.828320,75.402600,0.081540,17.412402,
User 26,page1,1.755370,905.822400,130.189500,0.082030,98.613557,
User 26,page1,1.854000,912.764160,84.126000,0.081550,46.583624,
User 26,page1,2.001950,1019.921538,110.242731,0.246590,110.294095,
User 26,page1,2.314450,860.656533,86.174667,0.163580,161.073317,
User 26,page1,2.560550,596.715840,148.185100,0.247560,271.127246,
User 26,page1,2.841310,772.606800,186.249000,0.049320,179.962469,
User 26,page1,2.906250,744.831360,146.757450,0.163570,48.281027,
User 26,page1,3.102540,785.702400,130.105500,0.016600,44.133087,
User 26,page1,3.168460,642.789000,89.704125,0.065430,148.514346,
User 26,page1,3.267090,616.442400,162.268167,0.197270,77.198986,
User 26,page1,3.496090,523.924800,166.183500,0.016610,92.600411,
User 26,page1,3.529790,578.113200,143.997000,0.032710,58.554449,
User 26,page1,3.578610,551.362560,189.081900,0.082030,52.423706,
User 26,page1,3.676760,548.419200,175.672875,0.065920,13.728267,
User 26,page1,3.791990,682.422720,138.167400,0.165530,139.153168,
User 26,page1,4.041020,805.845600,227.419500,0.015130,152.312654,
User 26,page1,4.072270,807.916200,150.971625,0.066400,76.475911,
User 26,page1,4.187500,901.375440,194.035800,0.163570,102.903609,
User 26,page1,4.400880,1024.520000,165.844000,0.049800,126.330362,
User 26,page1,4.533200,763.123200,131.504625,0.130860,263.642712,
User 26,page1,4.695800,858.137280,160.220550,0.165040,99.258651,
User 26,page1,4.926270,1043.263200,195.951000,0.017090,188.542492,
User 26,page1,4.976560,1041.628000,283.801000,0.048340,87.865217,
User 26,page1,5.058590,1042.745760,194.953500,0.082040,88.854531,
User 26,page1,5.222170,902.781600,60.606000,0.016110,194.008291,
User 26,page1,5.271000,962.829000,180.828375,0.065910,134.384187,
User 26,page1,5.353520,926.998800,132.373500,0.032710,60.263406,
User 26,page1,5.484860,581.154000,148.995000,0.032720,346.243989,
User 26,page1,5.550290,531.552000,209.727000,0.016600,78.413865,
User 26,page1,5.583010,567.732900,186.203062,0.133300,43.155917,
User 26,page1,5.765140,669.208400,180.503750,0.097650,101.635423,
User 26,page1,5.880370,691.051200,216.709500,0.031250,42.284326,
User 26,page1,5.961910,810.993867,197.220333,0.146980,121.515723,
User 26,page1,6.158690,919.951200,239.620500,0.015630,116.916528,
User 26,page1,6.191410,975.021600,198.786000,0.032710,68.558044,
User 26,page1,6.240720,929.890080,153.861400,0.247070,63.679461,
User 26,page1,6.536620,1079.416800,215.848500,0.032720,161.866119,
User 26,page1,6.585450,1050.310800,189.409500,0.032710,39.321495,
User 26,page1,6.652830,1053.144400,214.352250,0.229980,25.103188,
User 26,page1,6.962890,550.336800,223.165500,0.247070,502.884834,
User 26,page1,7.275390,728.453600,255.997000,0.065920,181.117370,
User 26,page1,7.374020,711.578000,149.299500,0.098640,108.023805,
User 26,page1,7.523440,828.850400,191.645300,0.277830,124.683530,
User 26,page1,7.817380,848.349600,189.241500,0.016600,19.646808,
User 26,page1,7.866700,731.500350,201.790312,0.279300,117.521147,
User 26,page1,8.195310,797.307000,206.695125,0.083010,65.989184,
User 26,page1,8.311040,867.363840,192.515400,0.082510,71.477447,
User 26,page1,8.414550,894.443631,202.722692,0.207520,28.939659,
User 26,page1,8.671390,1049.183100,243.301406,0.328610,159.971671,
User 26,page1,9.082520,579.255106,246.587559,0.296390,469.939484,
User 26,page1,9.397460,520.447200,209.078100,0.079100,69.751912,
User 26,page1,9.493650,600.915000,185.569125,0.065430,83.831609,
User 26,page1,9.625000,770.182560,196.256550,0.164060,169.604622,
User 26,page1,9.822270,829.929164,213.858273,0.180660,62.285450,
User 26,page1,10.019530,860.109600,284.151000,0.033690,76.497884,
User 26,page1,10.100590,921.199200,195.711000,0.169920,107.487547,
User 26,page1,10.332520,1064.981647,263.946221,0.605960,159.152246,
User 26,page1,11.003910,562.060800,257.297250,0.049800,502.964797,
User 26,page1,11.069820,601.078800,275.273250,0.033210,42.959759,
User 26,page1,11.120610,552.578880,228.866400,0.082030,67.125539,
User 26,page1,11.219240,591.331200,219.573500,0.360350,39.850976,
User 26,page1,11.595700,638.563800,268.361625,0.065920,67.905815,
User 26,page1,11.727050,813.261400,243.299000,0.198730,176.486222,
User 26,page1,11.974120,910.410000,284.963250,0.295900,105.706008,
User 26,page1,12.305180,1014.859440,260.106000,0.177240,107.366514,
User 26,page1,12.499510,1088.976000,282.607500,0.066900,77.456968,
User 26,page1,12.632320,570.233558,281.647026,0.344730,518.743331,
User 26,page1,13.090820,998.566800,223.818000,0.032720,432.219345,
User 26,page1,13.140630,1039.224000,312.216000,0.114740,97.299611,
User 26,page1,13.288090,1088.816400,252.022050,0.180660,77.991780,
User 26,page1,13.550780,509.611200,308.332500,0.016600,581.936019,
User 26,page1,13.583980,537.675600,287.548500,0.246100,34.922560,
User 26,page1,13.881840,644.515200,313.414500,0.080070,109.926112,
User 26,page1,13.978520,692.680800,302.547000,0.016110,49.376387,
User 26,page1,14.027340,655.527600,288.049125,0.067870,39.881683,
User 26,page1,14.109860,621.129600,292.624500,0.015630,34.700958,
User 26,page1,14.191410,744.277800,234.538500,0.065910,136.159695,
User 26,page1,14.273440,765.403800,305.174625,0.082030,73.727675,
User 26,page1,14.388670,876.536640,254.872800,0.082030,121.986810,
User 26,page1,14.536620,669.292400,269.120250,0.099610,207.733398,
User 26,page1,14.651860,667.371600,343.586250,0.032710,74.490769,
User 26,page1,14.717770,654.749760,245.372400,0.098640,99.021569,
User 26,page1,14.914550,813.207600,278.996250,0.248540,161.985957,
User 26,page1,15.209960,911.067600,302.583000,0.344730,100.662378,
