subj,cond,AOI,duration,order
User 38,calib-verif,bb,0.098760,1
User 38,calib-verif,bc,0.032770,2
User 38,calib-verif,bc,0.032370,3
User 38,calib-verif,bc,0.016240,4
User 38,calib-verif,bc,0.048920,5
User 38,calib-verif,ac,0.016360,6
User 38,calib-verif,ac,0.082340,7
User 38,calib-verif,ac,0.032530,8
User 38,calib-verif,ac,0.016150,9
User 38,calib-verif,ac,0.032590,10
User 38,calib-verif,bc,0.016210,11
User 38,calib-verif,bc,0.016600,12
User 38,calib-verif,bc,0.032740,13
User 38,calib-verif,bc,0.032650,14
User 38,calib-verif,ac,0.197420,15
User 38,calib-verif,ac,0.032440,16
User 38,calib-verif,ac,0.148680,17
User 38,calib-verif,ac,0.065460,18
User 38,calib-verif,bc,0.049680,19
User 38,calib-verif,bc,0.049650,20
User 38,calib-verif,ac,0.049190,21
User 38,calib-verif,ac,0.048830,22
User 38,calib-verif,ac,0.196990,23
User 38,calib-verif,ac,0.196750,24
User 38,calib-verif,ac,0.525060,25
User 38,calib-verif,ac,0.032930,26
User 38,calib-verif,bc,0.065590,27
User 38,calib-verif,bc,0.131190,28
User 38,calib-verif,bc,0.427160,29
User 38,calib-verif,bc,0.065950,30
User 38,calib-verif,bc,0.032710,31
User 38,calib-verif,bc,0.065820,32
User 38,calib-verif,cc,0.066860,33
User 38,calib-verif,bc,0.032200,34
User 38,calib-verif,bc,0.016540,35
User 38,calib-verif,cc,0.034420,36
User 38,calib-verif,cc,0.019350,37
User 38,calib-verif,cc,0.016260,38
User 38,calib-verif,cc,0.182190,39
User 38,calib-verif,cc,0.049740,40
User 38,calib-verif,cc,0.033930,41
User 38,calib-verif,cc,0.179880,42
User 38,calib-verif,cc,0.049110,43
User 38,calib-verif,cc,0.772250,44
User 38,calib-verif,cc,0.197020,45
User 38,calib-verif,cc,0.065400,46
User 38,calib-verif,cc,0.016440,47
User 38,calib-verif,cc,0.033110,48
User 38,calib-verif,cc,0.132390,49
User 38,calib-verif,cc,0.375820,50
User 38,calib-verif,cc,0.049350,51
User 38,calib-verif,cc,0.082490,52
User 38,calib-verif,bb,0.098760,53
User 38,calib-verif,bb,0.132290,54
User 38,calib-verif,bb,0.048340,55
User 38,calib-verif,bb,0.032250,56
User 38,calib-verif,bb,0.180910,57
User 38,calib-verif,cb,0.035160,58
User 38,calib-verif,cb,0.049320,59
User 38,calib-verif,cc,0.065640,60
User 38,calib-verif,cc,0.032540,61
User 38,calib-verif,cc,0.049860,62
User 38,calib-verif,cc,0.081940,63
User 38,calib-verif,cc,0.016030,64
User 38,calib-verif,bb,0.082180,65
User 38,calib-verif,bb,0.014800,66
User 38,calib-verif,bb,0.016510,67
User 38,calib-verif,bb,0.065130,68
User 38,calib-verif,bb,0.016240,69
User 38,calib-verif,ab,0.162540,70
User 38,calib-verif,ab,0.032690,71
User 38,calib-verif,ab,0.049130,72
User 38,calib-verif,ab,0.016300,73
User 38,calib-verif,ab,0.115170,74
User 38,calib-verif,bb,0.016480,75
User 38,calib-verif,bb,0.016350,76
User 38,calib-verif,bb,0.015110,77
User 38,calib-verif,bb,0.065760,78
User 38,calib-verif,ab,0.133300,79
User 38,calib-verif,ab,0.065770,80
User 38,calib-verif,ab,0.015960,81
User 38,calib-verif,ab,0.344600,82
User 38,calib-verif,bb,0.049260,83
User 38,calib-verif,cb,0.082000,84
User 38,calib-verif,bb,0.098570,85
User 38,calib-verif,bb,0.147770,86
User 38,calib-verif,bb,0.016760,87
User 38,calib-verif,bb,0.065860,88
User 38,calib-verif,bb,0.082150,89
User 38,calib-verif,bb,0.148070,90
User 38,calib-verif,bb,0.033260,91
User 38,calib-verif,bb,0.016720,92
User 38,calib-verif,bb,0.196070,93
User 38,calib-verif,bb,0.180270,94
User 38,calib-verif,bb,0.131320,95
User 38,calib-verif,bb,0.376980,96
User 38,calib-verif,bb,0.016230,97
User 38,calib-verif,bb,0.427180,98
User 38,calib-verif,bb,0.016570,99
User 38,calib-verif,cb,0.015900,100
User 38,calib-verif,cb,0.016480,101
User 38,calib-verif,cb,0.016600,102
User 38,calib-verif,cb,0.263210,103
User 38,calib-verif,cb,0.032530,104
User 38,calib-verif,cb,0.475980,105
User 38,calib-verif,cb,0.015080,106
User 38,calib-verif,cb,0.032840,107
User 38,calib-verif,cb,0.082310,108
User 38,calib-verif,cb,0.048190,109
User 38,calib-verif,cb,0.049440,110
User 38,calib-verif,ca,0.018280,111
User 38,calib-verif,cb,0.196870,112
User 38,calib-verif,cb,0.213560,113
User 38,calib-verif,cb,0.426820,114
User 38,calib-verif,bb,0.032870,115
User 38,calib-verif,aa,0.016600,116
User 38,calib-verif,aa,0.164550,117
User 38,calib-verif,aa,0.131230,118
User 38,calib-verif,aa,0.065670,119
User 38,calib-verif,aa,0.312500,120
User 38,calib-verif,aa,0.229790,121
User 38,calib-verif,bb,0.017180,122
User 38,calib-verif,bb,0.049280,123
User 38,calib-verif,bb,0.032530,124
User 38,calib-verif,ba,0.081050,125
User 38,calib-verif,ba,0.098940,126
User 38,calib-verif,bb,0.033290,127
User 38,calib-verif,ba,0.082090,128
User 38,calib-verif,ba,0.066220,129
User 38,calib-verif,ba,0.410700,130
User 38,calib-verif,ba,0.016910,131
