subj,cond,AOI,duration,order
User 33,calib-verif,ba,0.016840,1
User 33,calib-verif,bb,0.052000,2
User 33,calib-verif,bc,0.031490,3
User 33,calib-verif,bb,0.065180,4
User 33,calib-verif,ac,0.051270,5
User 33,calib-verif,ab,0.047600,6
User 33,calib-verif,bb,0.098640,7
User 33,calib-verif,ab,0.115230,8
User 33,calib-verif,ac,0.032230,9
User 33,calib-verif,ab,0.016110,10
User 33,calib-verif,ab,0.195320,11
User 33,calib-verif,ab,0.033200,12
User 33,calib-verif,ab,0.015870,13
User 33,calib-verif,bb,0.016600,14
User 33,calib-verif,ab,0.329340,15
User 33,calib-verif,ab,0.097420,16
User 33,calib-verif,ac,0.033200,17
User 33,calib-verif,ab,0.246330,18
User 33,calib-verif,bc,0.096680,19
User 33,calib-verif,bc,0.066170,20
User 33,calib-verif,bc,0.033210,21
User 33,calib-verif,bc,0.065920,22
User 33,calib-verif,bc,0.083000,23
User 33,calib-verif,bc,0.065680,24
User 33,calib-verif,bc,0.176020,25
User 33,calib-verif,cc,0.032470,26
User 33,calib-verif,bb,0.066650,27
User 33,calib-verif,cc,0.015870,28
User 33,calib-verif,bc,0.016360,29
User 33,calib-verif,bc,0.114500,30
User 33,calib-verif,bb,0.060300,31
User 33,calib-verif,bc,0.119880,32
User 33,calib-verif,bc,0.084960,33
User 33,calib-verif,dc,0.213860,34
User 33,calib-verif,dc,0.297120,35
User 33,calib-verif,dc,0.027590,36
User 33,calib-verif,dc,0.033200,37
User 33,calib-verif,db,0.016600,38
User 33,calib-verif,dc,0.032710,39
User 33,calib-verif,dc,0.114740,40
User 33,calib-verif,cc,0.065920,41
User 33,calib-verif,cc,0.049070,42
User 33,calib-verif,dc,0.016850,43
User 33,calib-verif,dc,0.164550,44
User 33,calib-verif,cc,0.065670,45
User 33,calib-verif,dc,0.131340,46
User 33,calib-verif,ab,0.016360,47
User 33,calib-verif,ab,0.132820,48
User 33,calib-verif,aa,0.345460,49
User 33,calib-verif,ab,0.312260,50
User 33,calib-verif,ab,0.411380,51
User 33,calib-verif,ab,0.015870,52
User 33,calib-verif,ab,0.016120,53
User 33,calib-verif,ab,0.048830,54
User 33,calib-verif,ab,0.114990,55
User 33,calib-verif,ab,0.032960,56
User 33,calib-verif,bb,0.162110,57
User 33,calib-verif,cb,0.312010,58
User 33,calib-verif,cb,0.030760,59
User 33,calib-verif,cb,0.344730,60
User 33,calib-verif,bb,0.015630,61
User 33,calib-verif,bb,0.065670,62
User 33,calib-verif,bb,0.032710,63
User 33,calib-verif,cb,0.050290,64
User 33,calib-verif,bb,0.032960,65
User 33,calib-verif,cb,0.164060,66
User 33,calib-verif,cb,0.065430,67
User 33,calib-verif,db,0.099610,68
User 33,calib-verif,db,0.016600,69
User 33,calib-verif,db,0.032470,70
User 33,calib-verif,db,0.016360,71
User 33,calib-verif,db,0.114990,72
User 33,calib-verif,db,0.016600,73
User 33,calib-verif,db,0.082030,74
User 33,calib-verif,db,0.032230,75
User 33,calib-verif,db,0.032710,76
User 33,calib-verif,db,0.016840,77
User 33,calib-verif,db,0.147950,78
User 33,calib-verif,db,0.082030,79
User 33,calib-verif,db,0.016600,80
User 33,calib-verif,db,0.065430,81
User 33,calib-verif,db,0.182380,82
User 33,calib-verif,cb,0.049310,83
User 33,calib-verif,cb,0.016850,84
User 33,calib-verif,db,0.016600,85
User 33,calib-verif,db,0.131350,86
User 33,calib-verif,db,0.016850,87
User 33,calib-verif,ba,0.147950,88
User 33,calib-verif,aa,0.017090,89
User 33,calib-verif,ba,0.016110,90
User 33,calib-verif,aa,0.164060,91
User 33,calib-verif,aa,0.163810,92
User 33,calib-verif,aa,0.016110,93
User 33,calib-verif,aa,0.016360,94
User 33,calib-verif,ba,0.112790,95
User 33,calib-verif,aa,0.574710,96
User 33,calib-verif,aa,0.114750,97
User 33,calib-verif,ca,0.102790,98
User 33,calib-verif,ca,0.011960,99
User 33,calib-verif,ba,0.050040,100
User 33,calib-verif,ca,0.243900,101
User 33,calib-verif,ca,0.065670,102
User 33,calib-verif,ba,0.082760,103
User 33,calib-verif,ca,0.032710,104
User 33,calib-verif,ca,0.159180,105
User 33,calib-verif,ba,0.116210,106
User 33,calib-verif,ca,0.035400,107
User 33,calib-verif,ca,0.213870,108
User 33,calib-verif,ca,0.131340,109
User 33,calib-verif,da,0.049070,110
User 33,calib-verif,da,0.016610,111
User 33,calib-verif,da,0.015620,112
User 33,calib-verif,da,0.066170,113
User 33,calib-verif,da,0.082280,114
User 33,calib-verif,da,0.015870,115
User 33,calib-verif,da,0.016600,116
User 33,calib-verif,da,0.049800,117
User 33,calib-verif,da,0.014160,118
User 33,calib-verif,da,0.049560,119
User 33,calib-verif,da,0.033690,120
User 33,calib-verif,da,0.032470,121
User 33,calib-verif,da,0.148190,122
User 33,calib-verif,da,0.049560,123
