subj,cond,AOI,duration,order
User 2,grid,cb,0.094000,1
User 2,grid,cb,0.049370,2
User 2,grid,cb,0.033390,3
User 2,grid,cb,0.008850,4
User 2,grid,bb,0.078860,5
User 2,grid,bc,0.543970,6
User 2,grid,bc,0.428780,7
User 2,grid,bc,0.043880,8
User 2,grid,bc,0.116520,9
User 2,grid,bc,0.295200,10
User 2,grid,ac,0.014640,11
User 2,grid,cc,0.676020,12
User 2,grid,cc,0.007750,13
User 2,grid,cc,0.010980,14
User 2,grid,cc,0.019340,15
User 2,grid,cc,0.027500,16
User 2,grid,bc,0.030740,17
User 2,grid,bc,0.131350,18
User 2,grid,dc,0.046110,19
User 2,grid,dc,0.115600,20
User 2,grid,dc,0.148530,21
User 2,grid,dc,0.032900,22
User 2,grid,dc,0.222530,23
User 2,grid,dc,0.016910,24
User 2,grid,dc,0.082280,25
User 2,grid,dc,0.057040,26
User 2,grid,db,0.032540,27
User 2,grid,db,0.016630,28
User 2,grid,db,0.186010,29
User 2,grid,db,0.011900,30
User 2,grid,db,0.165250,31
User 2,grid,db,0.328040,32
User 2,grid,db,0.016390,33
User 2,grid,db,0.017860,34
User 2,grid,db,0.050880,35
User 2,grid,db,0.223600,36
User 2,grid,db,0.015660,37
User 2,grid,db,0.082520,38
User 2,grid,db,0.082640,39
User 2,grid,db,0.016540,40
User 2,grid,db,0.028110,41
User 2,grid,cb,0.115150,42
User 2,grid,cb,0.024960,43
User 2,grid,cb,0.021390,44
User 2,grid,cb,0.280220,45
User 2,grid,cb,0.066340,46
User 2,grid,cb,0.079860,47
User 2,grid,cb,0.049900,48
User 2,grid,cb,0.126620,49
User 2,grid,cb,0.092470,50
User 2,grid,cb,0.016510,51
User 2,grid,bb,0.016350,52
User 2,grid,bb,0.016390,53
User 2,grid,bb,0.065980,54
User 2,grid,bb,0.016730,55
User 2,grid,bb,0.065880,56
User 2,grid,bb,0.007990,57
User 2,grid,bb,0.062380,58
User 2,grid,bb,0.051090,59
User 2,grid,bb,0.016420,60
User 2,grid,bb,0.051660,61
User 2,grid,bb,0.164880,62
User 2,grid,bb,0.032190,63
User 2,grid,bb,0.079590,64
User 2,grid,bb,0.033110,65
User 2,grid,bb,0.018610,66
User 2,grid,ba,0.118630,67
User 2,grid,bb,0.032990,68
User 2,grid,ba,0.311650,69
User 2,grid,ba,0.017550,70
User 2,grid,bb,0.054630,71
User 2,grid,ba,0.016720,72
User 2,grid,ba,0.016360,73
User 2,grid,ba,0.016480,74
User 2,grid,bb,0.025690,75
User 2,grid,ba,0.017300,76
User 2,grid,ba,0.014370,77
User 2,grid,ca,0.164850,78
User 2,grid,ca,0.017610,79
User 2,grid,ca,0.229860,80
User 2,grid,ca,0.016630,81
User 2,grid,ca,0.016600,82
User 2,grid,ca,0.082790,83
User 2,grid,ca,0.012110,84
User 2,grid,ca,0.012270,85
User 2,grid,ca,0.043730,86
User 2,grid,da,0.101990,87
User 2,grid,da,0.132010,88
User 2,grid,da,0.231020,89
User 2,grid,da,0.016720,90
User 2,grid,da,0.016510,91
User 2,grid,da,0.003110,92
User 2,grid,da,0.113370,93
User 2,grid,da,0.033600,94
User 2,grid,da,0.108060,95
User 2,grid,da,0.033260,96
User 2,grid,da,0.032870,97
User 2,grid,da,0.197870,98
User 2,grid,da,0.033170,99
User 2,grid,da,0.066280,100
User 2,grid,da,0.004150,101
User 2,grid,da,0.099000,102
User 2,grid,da,0.016510,103
User 2,grid,ca,0.016870,104
User 2,grid,da,0.181370,105
User 2,grid,da,0.029640,106
User 2,grid,da,0.098870,107
User 2,grid,ca,0.015780,108
