subj,cond,AOI,duration,order
User 2,p1,da,0.012240,1
User 2,p1,ca,0.012000,2
User 2,p1,da,0.032810,3
User 2,p1,da,0.028260,4
User 2,p1,da,0.028050,5
User 2,p1,da,0.016510,6
User 2,p1,da,0.016480,7
User 2,p1,da,0.021030,8
User 2,p1,cb,0.015750,9
User 2,p1,cb,0.082760,10
User 2,p1,cb,0.049490,11
User 2,p1,cb,0.016480,12
User 2,p1,cc,0.025360,13
User 2,p1,cc,0.017250,14
User 2,p1,cc,0.246000,15
User 2,p1,cc,0.033290,16
User 2,p1,cc,0.029610,17
User 2,p1,cc,0.039850,18
User 2,p1,cc,0.022890,19
User 2,p1,cc,0.069360,20
User 2,p1,cc,0.033020,21
User 2,p1,cc,0.725380,22
User 2,p1,cb,0.115780,23
User 2,p1,cb,0.145510,24
User 2,p1,cb,0.111510,25
User 2,p1,cb,0.017760,26
User 2,p1,cb,0.019860,27
User 2,p1,cb,0.016360,28
User 2,p1,cb,0.098940,29
User 2,p1,cb,0.165010,30
User 2,p1,cb,0.035090,31
User 2,p1,cb,0.015860,32
User 2,p1,cb,0.041800,33
User 2,p1,cb,0.015630,34
User 2,p1,cb,0.018010,35
User 2,p1,ca,0.099000,36
User 2,p1,cb,0.037870,37
User 2,p1,ca,0.074440,38
User 2,p1,ca,0.181280,39
User 2,p1,ca,0.164890,40
User 2,p1,ca,0.271060,41
User 2,p1,cb,0.031860,42
User 2,p1,ca,0.131990,43
User 2,p1,cb,0.070250,44
User 2,p1,cb,0.017120,45
User 2,p1,cb,0.082370,46
User 2,p1,cb,0.050500,47
User 2,p1,cb,0.280120,48
User 2,p1,cb,0.279910,49
User 2,p1,cb,0.016730,50
User 2,p1,cb,0.014620,51
User 2,p1,cb,0.034480,52
User 2,p1,cb,0.113340,53
User 2,p1,cb,0.148250,54
User 2,p1,cb,0.016510,55
User 2,p1,cc,0.020840,56
User 2,p1,cb,0.031000,57
User 2,p1,cc,0.098720,58
User 2,p1,cc,0.016790,59
User 2,p1,cc,0.082360,60
User 2,p1,cc,0.024140,61
User 2,p1,cb,0.049650,62
User 2,p1,cc,0.082550,63
User 2,p1,cc,0.016480,64
User 2,p1,cc,0.014650,65
User 2,p1,cc,0.041100,66
User 2,p1,cc,0.038400,67
User 2,p1,cc,0.403140,68
User 2,p1,cb,0.171260,69
User 2,p1,cb,0.009130,70
User 2,p1,cb,0.021150,71
User 2,p1,cb,0.127010,72
User 2,p1,cb,0.017250,73
User 2,p1,cb,0.235260,74
User 2,p1,cb,0.033380,75
User 2,p1,cb,0.247620,76
User 2,p1,cb,0.131900,77
User 2,p1,ca,0.263610,78
