0.049630 0.520534
0.377450 0.120547
0.410470 1.639961
0.673150 -0.094570
0.821440 -0.686390
1.121670 -0.400106
1.153050 -0.480193
1.429410 1.645633
1.724850 -0.055925
1.757760 1.447233
2.135670 2.007459
2.448060 0.619825
2.661420 0.993798
2.826710 -0.911571
3.072270 -0.284622
3.138340 0.024867
3.187260 -2.133265
3.269460 -0.734505
3.335320 -1.299584
3.450260 0.086622
3.680360 -2.210284
3.746110 1.172401
3.909790 -2.168653
3.976060 0.255401
4.009800 -0.693096
4.238980 -2.968214
4.484700 0.560326
4.566850 0.123196
4.864230 -0.443234
4.896680 0.562357
5.011010 0.562357
