0.000000 642.986400 73.741500
0.017880 634.401600 35.553000
0.033390 602.330400 65.215500
0.056610 606.412800 77.122500
0.066130 648.244800 119.070000
0.082240 647.841600 83.055000
0.098750 646.094400 77.374500
0.115140 665.431200 90.573000
0.131900 626.354400 87.727500
0.148620 622.540800 76.104000
0.179500 632.973600 54.558000
0.184630 639.458400 48.132000
0.197630 641.188800 53.791500
0.234740 633.880800 70.948500
0.241000 647.640000 82.467000
0.247130 649.504800 88.567500
0.263760 606.631200 78.771000
0.280000 628.504800 92.232000
0.296510 626.690400 86.677500
0.312990 611.704800 104.380500
0.329620 619.567200 74.172000
0.362640 638.568000 61.845000
0.379000 600.314400 46.063500
0.411930 826.425600 259.318500
0.435910 793.783200 263.917500
0.445500 792.170400 256.063500
0.461360 846.720000 249.469500
0.477870 791.901600 247.380000
0.500030 790.440000 239.893500
0.510860 823.166400 231.588000
0.527400 839.748000 253.638000
0.550020 840.856800 261.061500
0.560270 815.656800 265.261500
0.577030 831.331200 231.619500
0.593260 832.574400 239.106000
0.609740 854.347200 274.344000
0.626250 807.038400 301.654500
0.643040 806.500800 299.103000
0.659390 807.206400 292.236000
0.676030 834.472800 276.843000
0.692260 834.187200 274.491000
0.708740 849.156000 230.685000
0.726140 850.449600 248.598000
0.741640 852.532800 263.949000
0.784940 878.656800 301.024500
0.808500 892.180800 265.051500
0.826510 896.582400 285.631500
0.840640 896.632800 285.684000
0.857120 443.335200 274.081500
0.876500 463.831200 276.045000
0.892880 464.620800 277.431000
0.906490 420.588000 248.902500
0.923000 421.008000 228.207000
0.939510 416.808000 221.004000
0.955990 420.604800 272.055000
0.972660 447.686400 292.131000
0.989500 447.955200 292.593000
1.015010 455.985600 261.702000
1.030400 426.350400 257.607000
1.047240 423.511200 252.850500
1.054990 433.608000 268.579500
1.071500 459.681600 240.870000
1.120390 431.289600 237.772500
1.125310 465.998400 231.021000
1.154750 433.624800 240.292500
1.170380 436.648800 222.747000
1.186890 439.437600 227.650500
1.206390 426.938400 229.813500
1.220120 408.777600 244.650000
1.236510 405.568800 239.389500
1.252870 449.248800 236.439000
1.269260 430.416000 192.244500
1.285770 425.980800 184.317000
1.310150 440.361600 202.744500
1.319000 413.515200 201.201000
1.341250 415.228800 203.994000
1.351750 416.640000 228.858000
1.368380 449.702400 213.433500
1.386140 452.659200 218.820000
1.401400 449.484000 285.547500
1.420900 429.626400 275.436000
1.441250 432.432000 280.087500
1.450900 448.089600 236.953500
1.467130 440.395200 263.917500
1.483640 443.184000 268.684500
1.500270 475.440000 257.701500
1.516780 448.660800 259.770000
1.549800 462.604800 278.586000
1.566380 466.267200 283.426500
1.582890 459.127200 270.931500
1.599120 408.458400 224.868000
1.615750 401.385600 211.228500
1.643400 392.162400 195.856500
1.655490 420.285600 236.691000
1.668000 431.692800 210.840000
1.698000 407.164800 212.688000
1.716770 440.512800 238.476000
1.731020 446.510400 248.692500
1.748500 444.998400 272.401500
1.768890 437.102400 280.098000
1.780640 439.756800 284.665500
1.797000 442.915200 252.357000
1.813390 458.119200 223.555500
1.829860 454.087200 216.237000
1.846370 459.816000 216.573000
1.866760 449.668800 223.860000
1.880770 459.681600 241.867500
1.896270 437.640000 259.098000
1.912750 451.701600 288.246000
1.929020 455.733600 295.165500
1.947540 461.714400 279.016500
1.967130 452.121600 266.532000
1.983150 448.005600 259.455000
1.996150 432.112800 262.426500
2.011260 444.712800 263.760000
2.027770 446.040000 265.996500
2.044770 473.306400 260.578500
2.060910 480.060000 262.678500
2.077270 477.405600 257.796000
2.097290 475.120800 276.129000
2.110410 429.626400 243.316500
2.126770 426.804000 238.497000
2.143400 435.640800 240.418500
2.159940 455.935200 238.560000
2.208010 471.542400 236.838000
2.211000 452.928000 250.813500
2.245640 465.628800 234.402000
2.258790 462.336000 226.884000
2.275390 460.706400 224.007000
2.294250 444.880800 234.675000
2.310000 457.598400 213.444000
2.324620 456.288000 210.934500
2.341000 475.675200 232.050000
2.357510 466.653600 233.919000
2.373990 472.113600 244.009500
2.390530 460.773600 222.096000
2.407260 446.880000 245.605500
2.430510 448.358400 248.262000
2.440000 423.729600 262.594500
2.457370 435.775200 240.555000
2.472990 435.808800 240.628500
2.489650 441.890400 249.312000
2.535890 443.200800 251.611500
2.539890 433.507200 274.911000
2.558260 442.629600 279.100500
2.571870 438.093600 271.509000
2.588380 434.532000 252.525000
2.604890 423.796800 225.015000
2.622250 419.445600 217.623000
2.638240 462.638400 251.212500
2.654390 730.430400 232.869000
2.670870 731.001600 235.431000
2.687380 832.255200 253.113000
2.703890 829.819200 241.773000
2.720280 830.205600 244.030500
2.738010 804.854400 239.830500
2.760890 847.744800 246.582000
2.769740 848.500800 251.926500
2.792140 821.536800 251.160000
2.802760 815.606400 275.467500
2.819270 813.859200 265.660500
2.863890 874.860000 246.739500
2.868900 875.380800 251.506500
2.892270 868.240800 240.660000
2.901610 877.128000 261.471000
2.918120 878.220000 271.467000
2.934630 863.620800 251.601000
2.951260 865.317600 253.659000
2.967770 864.948000 250.908000
2.984130 859.051200 255.276000
3.000640 853.272000 242.518500
3.017120 851.894400 232.291500
3.033910 845.863200 213.990000
3.073760 842.368800 227.125500
3.081510 841.377600 219.775500
3.084380 827.517600 219.219000
3.099520 822.813600 236.040000
3.120760 822.830400 236.124000
3.132510 830.575200 234.675000
3.149020 829.600800 223.744500
3.192870 843.124800 208.509000
3.198880 842.016000 200.046000
3.217500 842.268000 202.587000
3.231510 848.131200 228.427500
3.247860 866.493600 198.534000
3.281130 867.888000 215.502000
