timestamp,x,y,duration,prev_sacc_amplitude,aoi_label
13.209010,674.973600,404.050500,0.015630,193.719125,study_purpose
13.256530,689.480400,518.841750,0.067050,115.704271,activities_and_procedures
13.407260,833.288400,439.997250,0.032010,164.003646,study_purpose
13.570040,817.084800,439.950000,0.015560,16.203669,study_purpose
13.668670,806.164800,321.699000,0.015720,118.754138,alternative_to_participation
13.782960,976.920000,332.267250,0.049830,171.081928,alternative_to_participation
13.866030,942.358200,377.020875,0.081140,56.545601,study_purpose
13.963130,983.123400,309.017625,0.066010,79.285834,key_information
14.095430,978.213600,405.363000,0.016540,96.470397,study_purpose
14.455840,1146.448800,454.692000,0.016510,175.318090,study_purpose
14.604130,646.497600,543.970500,0.134330,507.860072,activities_and_procedures
15.047970,709.195200,511.465500,0.017800,70.622688,activities_and_procedures
15.096470,716.906400,610.249500,0.016140,99.084516,activities_and_procedures
15.130160,675.612000,622.377000,0.016690,43.038398,activities_and_procedures
15.162810,705.672800,573.678000,0.049470,57.229750,activities_and_procedures
15.228240,691.199600,535.682000,0.131440,40.659188,activities_and_procedures
15.442110,731.505600,535.374000,0.016420,40.307177,activities_and_procedures
15.921050,915.835200,523.246500,0.016540,184.728118,activities_and_procedures
15.953490,932.203200,465.490500,0.130400,60.030550,study_purpose
16.117520,996.441600,548.121000,0.014990,104.663134,activities_and_procedures
16.165770,1037.064000,419.968500,0.016880,134.436761,study_purpose
16.231600,992.308800,554.694000,0.016050,141.964743,activities_and_procedures
16.297300,937.994400,380.866500,0.016600,182.115496,study_purpose
16.362920,886.065600,499.390500,0.016960,129.400691,activities_and_procedures
16.412050,1017.273600,426.258000,0.016750,150.212855,study_purpose
16.461490,1083.398400,489.016500,0.017540,91.165336,activities_and_procedures
16.510930,1012.855200,411.810000,0.032100,104.581005,study_purpose
16.576450,1011.393600,548.740500,0.016170,136.938300,activities_and_procedures
16.625370,907.737600,445.704000,0.016480,146.154325,study_purpose
16.822660,785.232000,581.878500,0.016970,183.169639,activities_and_procedures
16.888730,684.096000,670.708500,0.049590,134.607798,activities_and_procedures_cont
16.954560,714.487200,672.714000,0.016450,30.457299,activities_and_procedures_cont
17.053860,586.286400,485.404500,0.015690,226.980823,activities_and_procedures
17.118870,680.248800,632.341500,0.015710,174.411624,activities_and_procedures
17.183590,677.220600,528.202500,0.066620,104.183018,activities_and_procedures
17.282680,718.645200,634.572750,0.066230,114.151774,activities_and_procedures
17.381710,753.463200,552.006000,0.016450,89.607820,activities_and_procedures
17.430630,750.556800,599.151000,0.016820,47.234502,activities_and_procedures
17.463710,764.668800,600.043500,0.015870,14.140194,activities_and_procedures
17.528690,690.832800,562.179000,0.115570,82.978764,activities_and_procedures
17.791690,798.924000,495.768000,0.016290,126.862636,activities_and_procedures
17.841740,845.661600,561.330000,0.016080,80.515707,activities_and_procedures
17.873690,800.060800,540.113000,0.050290,50.295070,activities_and_procedures
17.940000,795.984000,598.993500,0.032260,59.021467,activities_and_procedures
