subj,cond,AOI,duration,order
User 7,page3,bb,0.197510,1
User 7,page3,bc,0.098630,2
User 7,page3,bc,0.081540,3
User 7,page3,bc,0.016840,4
User 7,page3,bc,0.164310,5
User 7,page3,bc,0.247070,6
User 7,page3,bc,0.016850,7
User 7,page3,bc,0.033210,8
User 7,page3,bc,0.049560,9
User 7,page3,bc,0.066650,10
User 7,page3,bc,0.050050,11
User 7,page3,bc,0.097900,12
User 7,page3,bc,0.049320,13
User 7,page3,bc,0.065680,14
User 7,page3,bc,0.165520,15
User 7,page3,bc,0.066170,16
User 7,page3,bb,0.016840,17
User 7,page3,bb,0.016350,18
User 7,page3,bb,0.051020,19
User 7,page3,bb,0.036860,20
User 7,page3,bb,0.128660,21
User 7,page3,bb,0.032960,22
User 7,page3,bb,0.180420,23
User 7,page3,bb,0.215090,24
User 7,page3,bb,0.066650,25
User 7,page3,bb,0.016600,26
User 7,page3,bb,0.032470,27
User 7,page3,bb,0.032230,28
User 7,page3,bb,0.016600,29
User 7,page3,bb,0.130130,30
User 7,page3,bc,0.246820,31
User 7,page3,bc,0.048820,32
User 7,page3,bc,0.377190,33
User 7,page3,bc,0.081790,34
User 7,page3,bc,0.130130,35
User 7,page3,bb,0.032720,36
User 7,page3,bc,0.032960,37
User 7,page3,bc,0.016360,38
User 7,page3,bc,0.032470,39
User 7,page3,bc,0.049560,40
User 7,page3,bc,0.049320,41
User 7,page3,bc,0.278570,42
User 7,page3,bc,0.016360,43
User 7,page3,cc,0.197270,44
User 7,page3,cc,0.131340,45
User 7,page3,cc,0.032470,46
User 7,page3,cc,0.148430,47
User 7,page3,cc,0.131100,48
User 7,page3,cc,0.343510,49
User 7,page3,bc,0.115470,50
User 7,page3,bc,0.213620,51
User 7,page3,bc,0.196530,52
User 7,page3,bb,0.065190,53
User 7,page3,bc,0.049810,54
User 7,page3,bc,0.510750,55
User 7,page3,bc,0.032230,56
