subj,cond,AOI,duration,order
User 3,calib-verif,cc,0.014380,1
User 3,calib-verif,cc,0.016790,2
User 3,calib-verif,cc,0.082700,3
User 3,calib-verif,cc,0.048520,4
User 3,calib-verif,dc,0.705940,5
User 3,calib-verif,bc,0.098790,6
User 3,calib-verif,ab,0.082220,7
User 3,calib-verif,bb,0.048950,8
User 3,calib-verif,ab,0.032630,9
User 3,calib-verif,ab,0.080930,10
User 3,calib-verif,ab,0.032870,11
User 3,calib-verif,ab,0.034950,12
User 3,calib-verif,ab,0.345700,13
User 3,calib-verif,bb,0.222320,14
User 3,calib-verif,cb,0.144680,15
User 3,calib-verif,db,0.044950,16
User 3,calib-verif,db,0.180550,17
User 3,calib-verif,db,0.049280,18
User 3,calib-verif,db,0.032470,19
User 3,calib-verif,ba,0.016140,20
User 3,calib-verif,ba,0.098570,21
User 3,calib-verif,aa,0.030270,22
User 3,calib-verif,ba,0.114840,23
User 3,calib-verif,ba,0.016850,24
User 3,calib-verif,ba,0.230100,25
User 3,calib-verif,ba,0.264920,26
User 3,calib-verif,da,0.182310,27
User 3,calib-verif,ca,0.015800,28
User 3,calib-verif,da,0.114720,29
User 3,calib-verif,db,0.096530,30
User 3,calib-verif,ca,0.015890,31
User 3,calib-verif,ca,0.016480,32
User 3,calib-verif,da,0.029290,33
