subj,cond,AOI,duration,order
User 6,page2,bb,0.082030,188
User 6,page2,bb,0.133300,189
User 6,page2,bb,0.147100,190
User 6,page2,bb,0.180420,191
User 6,page2,bb,0.129390,192
User 6,page2,bb,0.214600,193
User 6,page2,cb,0.196890,194
User 6,page2,cb,0.114990,195
User 6,page2,cb,0.114870,196
User 6,page2,cb,0.116580,197
User 6,page2,bb,0.098640,198
User 6,page2,bb,0.146850,199
User 6,page2,bb,0.066040,200
User 6,page2,bb,0.081540,201
User 6,page2,ba,0.164060,202
User 6,page2,ba,0.033080,203
User 6,page2,ba,0.032590,204
User 6,page2,ba,0.084590,205
User 6,page2,ba,0.394280,206
User 6,page2,ba,0.146600,207
User 6,page2,ba,0.066160,208
